iter	Passed	Remaining
0	151	150982
1	170	85027
2	190	63314
3	209	52245
4	216	43048
5	236	39222
6	258	36669
7	278	34535
8	298	32909
9	318	31559
10	338	30453
11	358	29536
12	378	28705
13	406	28655
14	426	28006
15	446	27464
16	466	26989
17	486	26514
18	506	26151
19	526	25806
20	546	25484
21	566	25162
22	578	24594
23	598	24319
24	617	24078
25	638	23907
26	657	23684
27	676	23490
28	696	23313
29	715	23133
30	735	22989
31	755	22841
32	775	22733
33	795	22597
34	814	22457
35	833	22331
36	853	22218
37	874	22139
38	894	22042
39	914	21950
40	935	21878
41	955	21784
42	974	21693
43	994	21607
44	1014	21522
45	1034	21450
46	1053	21369
47	1073	21289
48	1093	21227
49	1113	21163
50	1135	21129
51	1160	21163
52	1188	21241
53	1212	21247
54	1232	21182
55	1252	21116
56	1272	21050
57	1292	20998
58	1313	20943
59	1333	20892
60	1353	20838
61	1374	20794
62	1394	20734
63	1414	20688
64	1439	20707
65	1459	20660
66	1480	20616
67	1501	20574
68	1520	20522
69	1540	20470
70	1560	20424
71	1580	20368
72	1600	20325
73	1621	20286
74	1642	20254
75	1663	20220
76	1683	20180
77	1704	20145
78	1724	20105
79	1745	20073
80	1765	20036
81	1786	19996
82	1806	19954
83	1825	19908
84	1845	19866
85	1864	19818
86	1884	19778
87	1904	19742
88	1924	19702
89	1944	19662
90	1964	19621
91	1983	19571
92	2002	19528
93	2022	19490
94	2041	19447
95	2061	19411
96	2080	19372
97	2100	19329
98	2119	19290
99	2139	19253
100	2158	19213
101	2177	19173
102	2198	19142
103	2217	19106
104	2236	19066
105	2255	19026
106	2277	19006
107	2296	18970
108	2316	18935
109	2336	18906
110	2355	18866
111	2375	18832
112	2394	18797
113	2414	18767
114	2434	18732
115	2452	18691
116	2471	18654
117	2491	18623
118	2512	18598
119	2531	18564
120	2550	18530
121	2570	18500
122	2589	18464
123	2608	18431
124	2628	18402
125	2648	18368
126	2667	18336
127	2688	18312
128	2708	18286
129	2727	18255
130	2747	18227
131	2767	18199
132	2787	18173
133	2806	18138
134	2825	18107
135	2846	18083
136	2865	18048
137	2885	18025
138	2909	18024
139	2930	17998
140	2950	17973
141	2969	17944
142	2989	17916
143	3009	17887
144	3028	17859
145	3047	17828
146	3067	17798
147	3086	17768
148	3105	17736
149	3125	17709
150	3144	17682
151	3164	17653
152	3184	17628
153	3207	17617
154	3228	17597
155	3247	17570
156	3267	17542
157	3288	17522
158	3308	17500
159	3334	17504
160	3353	17475
161	3372	17446
162	3392	17420
163	3412	17393
164	3431	17365
165	3450	17336
166	3470	17309
167	3489	17282
168	3509	17256
169	3528	17228
170	3548	17201
171	3566	17170
172	3586	17145
173	3605	17116
174	3625	17092
175	3644	17065
176	3664	17037
177	3683	17010
178	3702	16981
179	3721	16954
180	3741	16928
181	3761	16904
182	3780	16875
183	3799	16850
184	3818	16822
185	3839	16800
186	3858	16777
187	3878	16753
188	3898	16726
189	3917	16701
190	3937	16677
191	3957	16652
192	3977	16629
193	3997	16608
194	4017	16584
195	4036	16559
196	4056	16535
197	4076	16512
198	4096	16487
199	4116	16464
200	4135	16438
201	4170	16476
202	4190	16453
203	4209	16425
204	4230	16404
205	4249	16379
206	4270	16359
207	4291	16341
208	4311	16319
209	4334	16304
210	4354	16282
211	4373	16257
212	4393	16231
213	4413	16209
214	4432	16185
215	4452	16160
216	4471	16135
217	4491	16111
218	4511	16087
219	4531	16067
220	4550	16040
221	4570	16017
222	4590	15994
223	4609	15969
224	4629	15944
225	4648	15919
226	4668	15896
227	4688	15874
228	4707	15849
229	4727	15826
230	4746	15801
231	4765	15776
232	4784	15750
233	4804	15726
234	4824	15704
235	4844	15681
236	4863	15657
237	4882	15633
238	4902	15610
239	4922	15587
240	4941	15563
241	4961	15541
242	4981	15517
243	5001	15495
244	5021	15475
245	5041	15453
246	5060	15428
247	5080	15405
248	5100	15384
249	5120	15360
250	5140	15339
251	5160	15317
252	5179	15293
253	5199	15270
254	5219	15248
255	5238	15224
256	5259	15205
257	5279	15184
258	5300	15164
259	5319	15140
260	5339	15118
261	5359	15096
262	5379	15074
263	5398	15051
264	5426	15050
265	5445	15027
266	5465	15004
267	5484	14980
268	5504	14957
269	5523	14934
270	5542	14910
271	5561	14885
272	5580	14861
273	5599	14836
274	5620	14816
275	5639	14793
276	5659	14771
277	5678	14747
278	5697	14724
279	5716	14698
280	5736	14678
281	5756	14657
282	5776	14634
283	5796	14613
284	5816	14591
285	5836	14571
286	5856	14549
287	5875	14526
288	5895	14505
289	5915	14482
290	5934	14459
291	5954	14438
292	5976	14420
293	6001	14411
294	6020	14389
295	6040	14367
296	6059	14343
297	6079	14322
298	6099	14301
299	6120	14281
300	6139	14257
301	6159	14235
302	6179	14214
303	6198	14191
304	6217	14167
305	6238	14147
306	6258	14126
307	6277	14104
308	6298	14083
309	6317	14062
310	6337	14039
311	6356	14016
312	6375	13993
313	6395	13971
314	6414	13947
315	6433	13925
316	6453	13904
317	6473	13882
318	6492	13859
319	6512	13838
320	6532	13817
321	6551	13795
322	6571	13772
323	6590	13749
324	6609	13728
325	6629	13707
326	6649	13686
327	6669	13664
328	6690	13645
329	6709	13623
330	6729	13601
331	6750	13581
332	6768	13558
333	6788	13536
334	6808	13515
335	6828	13493
336	6847	13472
337	6867	13450
338	6888	13430
339	6908	13410
340	6928	13390
341	6948	13368
342	6968	13347
343	6987	13325
344	7008	13306
345	7029	13286
346	7049	13266
347	7069	13244
348	7091	13227
349	7111	13206
350	7131	13186
351	7151	13164
352	7171	13144
353	7190	13120
354	7210	13100
355	7229	13078
356	7249	13057
357	7269	13036
358	7289	13015
359	7309	12993
360	7332	12978
361	7351	12957
